date, pm25, pm10, o3, no2, so2, co
2019/3/18, 30, 14, 33, 32, 6, 4
2019/3/19, 48, 19, 39, 27, 5, 5
2019/3/20, 58, 15, 38, 13, 5, 3
2019/3/21, 37, 11, 37, 12, 1, 3
2019/3/22, 28, 8, 32, 12, 1, 2
2019/3/23, 32, 10, 37, 11, 2, 2
2019/3/24, 35, 15, 26, 22, 4, 4
2019/3/25, 51, 27, 24, 39, 7, 5
2019/3/26, 75, 20, 47, 15, 4, 3
2019/3/27, 57, 15, 45, 17, 2, 3
2019/3/28, 46, 11, 31, 15, 2, 3
2019/3/29, 38, 20, 27, 16, 1, 3
2019/3/30, 62, 17, 39, 12, 2, 3
2019/3/31, 56, 7, 36, 14, 3, 4
2018/10/1, 46, 15, 41, 20, 5, 3
2018/10/2, 47, 20, 25, 22, 3, 3
2018/10/3, 53, 14, 25, 14, 1, 2
2018/10/4, 38, 15, 19, 18, 1, 3
2018/10/5, 41, 22, 19, 21, 6, 4
2018/10/6, 52, 20, 28, 10, 4, 2
2018/10/7, 44, 11, 31, 8, 2, 2
2018/10/8, 27, 13, 27, 18, 1, 3
2018/10/9, 36, 16, 29, 18, 3, 3
2018/10/10, 43, 16, 17, 26, 8, 4
2018/10/11, 61, , 18, 17, 3, 3
2018/10/12, 26, 10, 24, 11, 1, 2
2018/10/13, 26, 11, 25, 8, 1, 3
2018/10/14, 27, 13, 18, 21, 2, 3
2018/10/15, 38, 17, 23, 18, , 3
2018/10/16, 50, 15, 25, 15, 1, 2
2018/10/17, 44, 11, 24, 14, 1, 3
2018/10/18, 33, 12, 18, 17, 1, 2
2018/10/19, 31, 11, 30, 12, 1, 3
2018/10/20, 31, 8, 31, 8, 3, 3
2018/10/21, 26, 14, 27, 18, 2, 3
2018/10/22, 42, 16, 18, 20, 1, 3
2018/10/23, 48, 12, 21, 18, 2, 2
2018/10/24, 40, 21, 33, 21, 1, 4
2018/10/25, 60, 25, 27, 21, 3, 3
2018/10/26, 61, 20, 26, 24, 4, 4
2018/10/27, 50, 13, 28, 12, 3, 3
2018/10/28, 45, 18, 21, 28, 6, 4
2018/10/29, 59, 13, 31, 25, 5, 4
2018/10/30, 43, 7, 23, 17, 3, 3
2018/10/31, 28, 6, 23, 17, 7, 3
2018/11/1, 26, 9, 26, 20, 3, 3
2018/11/2, 33, 13, 27, 21, 5, 4
2018/11/3, 47, 24, 21, 18, 1, 5
2018/11/4, 74, 23, 18, 25, 5, 4
2018/11/5, 66, 16, 8, 26, 3, 4
2018/11/6, 47, 11, 27, 13, 1, 2
2018/11/7, 35, 16, 27, 15, 1, 3
2018/11/8, 51, 25, 16, 27, 3, 6
2018/11/9, 65, 20, 25, 19, 1, 4
2018/11/10, 54, 19, 33, 14, 9, 3
2018/11/11, 57, 31, 8, 25, 6, 5
2018/11/12, 80, 17, , , , 3
2018/11/13, 49, 8, 20, 15, 1, 2
2018/11/14, 28, 7, 21, 17, 2, 3
2018/11/15, 25, 13, 16, 28, 3, 4
2018/11/16, 49, 16, 28, 19, , 3
2018/11/17, 56, 9, 26, 8, 2, 3
2018/11/18, 31, 18, 19, 22, 2, 4
2018/11/19, 55, 7, 23, 18, 1, 3
2018/11/20, 26, 20, 6, 42, 8, 5
2018/11/21, 64, 21, 14, 28, 2, 5
2018/11/22, 69, 4, 25, 11, 1, 3
2018/11/23, 17, 5, 22, 13, 1, 3
2018/11/24, 22, 15, 21, 21, 5, 4
2018/11/25, 56, 16, 19, 28, 3, 4
2018/11/26, 58, 27, 13, 41, 11, 6
2018/11/27, 76, 35, 20, 40, 7, 6
2018/11/28, 97, 22, 21, 16, , 4
2018/11/29, 55, 16, 21, 24, 6, 4
2018/11/30, 54, 12, 22, 22, 7, 4
2018/12/1, 39, 13, 24, 11, , 4
2018/12/2, 46, 26, 14, 37, 6, 6
2018/12/3, 79, 29, 20, 27, 6, 5
2018/12/4, 77, 11, 23, 16, 4, 4
2018/12/5, 30, 11, 15, 19, , 3
2018/12/6, 40, 30, 3, 38, 8, 7
2018/12/7, 89, 6, 19, 15, , 3
2018/12/8, 21, 3, 26, 6, , 3
2018/12/9, 11, 6, 20, 18, 1, 3
2018/12/10, 31, 11, 14, 26, 1, 4
2018/12/11, 50, 6, 22, 19, 2, 3
2018/12/12, 27, 6, 25, 21, 1, 3
2018/12/13, 25, 9, 25, 16, 2, 4
2018/12/14, 35, 6, 28, 10, 1, 3
2018/12/15, 27, 14, 20, 23, 1, 5
2018/12/16, 56, 29, 3, 44, 4, 9
2018/12/17, 95, 9, 22, 25, 4, 5
2018/12/18, 32, 10, 15, 30, 5, 5
2018/12/19, 43, 15, 12, 36, 4, 5
2018/12/20, 58, 16, 15, 35, 7, 5
2018/12/21, 62, 31, 6, 39, 1, 7
2018/12/22, 106, 24, 16, 24, 1, 5
2018/12/23, 81, 5, 27, 7, 1, 3
2018/12/24, 24, 10, 19, 25, 2, 5
2018/12/25, 40, 25, 4, 41, 3, 7
2018/12/26, 84, 12, 16, 27, 5, 5
2018/12/27, 46, 3, 25, 6, 1, 2
2018/12/28, 12, 3, 26, 7, 2, 2
2018/12/29, 15, 3, 28, 3, 1, 2
2018/12/30, 14, , , , , 
2018/7/1, 54, 27, 11, 13, 8, 2
2018/7/2, 51, 22, 11, 12, 6, 2
2018/7/3, 48, 25, 7, 8, 4, 2
2018/7/4, 45, 19, 11, 8, 2, 2
2018/7/5, 36, 15, 7, 14, 1, 2
2018/7/6, 29, 18, 8, 12, 6, 2
2018/7/7, 38, 20, 14, 11, 7, 2
2018/7/8, 42, 21, 13, 16, 9, 2
2018/7/9, 39, 23, 12, 15, 12, 1
2018/7/10, 46, 27, 26, 24, 9, 4
2018/7/11, 57, 25, 23, 21, 6, 3
2018/7/12, 57, 31, 28, 24, 8, 3
2018/7/13, 64, 35, 69, 20, 7, 3
2018/7/14, 71, 48, 45, 14, 7, 3
2018/7/15, 79, 54, 39, 18, 9, 3
2018/7/16, 87, 53, 23, 22, 11, 3
2018/7/17, 86, 51, 40, 24, 9, 2
2018/7/18, 81, 33, 16, 20, 10, 3
2018/7/19, 57, 24, 11, 12, 6, 2
2018/7/20, 41, 24, 18, 15, 9, 3
2018/7/21, 45, 38, 50, 20, 11, 4
2018/7/22, 70, 28, 59, 22, 12, 3
2018/7/23, 65, 45, 60, 18, 5, 2
2018/7/24, 78, 30, 27, 13, 3, 2
2018/7/25, 56, 13, 26, 11, 2, 
2018/7/26, 35, 15, 21, 10, 2, 
2018/7/27, 43, 17, 15, 6, 1, 1
